Exercise,Difficulty Level,Target Muscle Group,Prime Mover Muscle,Secondary Muscle,Tertiary Muscle,Primary Equipment,# Primary Items,Secondary Equipment,# Secondary Items,Posture,Single or Double Arm,Continuous or Alternating Arms,Grip,Load Position (Ending),Foot Elevation,Combination Exercises,Movement Pattern #1,Movement Pattern #2,Movement Pattern #3,Plane Of Motion #1,Plane Of Motion #2,Plane Of Motion #3,Body Region,Force Type,Mechanics,Laterality,Primary Exercise Classification
Bodyweight Alternating Lateral Lunge,Beginner,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Bodyweight,1,None,0,Standing,No Arms,Continuous,No Grip,No Load,No Elevation,Single Exercise,Knee Dominant,,,Frontal Plane,,,Lower Body,Push,Compound,Unilateral,Bodybuilding
Bodyweight Alternating Forward Lunge,Beginner,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Bodyweight,1,None,0,Standing,No Arms,Continuous,No Grip,No Load,No Elevation,Single Exercise,Knee Dominant,,,Sagittal Plane,,,Lower Body,Push,Compound,Unilateral,Bodybuilding
Bodyweight Alternating Reverse Lunge,Beginner,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Biceps Femoris,Bodyweight,1,None,0,Standing,No Arms,Continuous,No Grip,No Load,No Elevation,Single Exercise,Knee Dominant,,,Sagittal Plane,,,Lower Body,Push,Compound,Unilateral,Bodybuilding
Macebell Order Cyclist Squat,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Macebell,1,Slant Board,1,Standing,Double Arm,Continuous,Neutral,Order,Heels Elevated,Single Exercise,Knee Dominant,,,Sagittal Plane,,,Lower Body,Push,Compound,Bilateral,Bodybuilding
Double Dumbbell Overhead Squat,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Dumbbell,2,None,0,Standing,Double Arm,Continuous,Neutral,Overhead,No Elevation,Single Exercise,Knee Dominant,,,Sagittal Plane,,,Lower Body,Push,Compound,Bilateral,Bodybuilding
Single Arm Dumbbell Overhead Squat,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Dumbbell,1,None,0,Standing,Single Arm,Continuous,Neutral,Overhead,No Elevation,Single Exercise,Knee Dominant,,,Sagittal Plane,,,Lower Body,Push,Compound,Unilateral,Bodybuilding
Macebell Order Squat,Beginner,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Macebell,1,None,0,Standing,Double Arm,Continuous,Neutral,Order,No Elevation,Single Exercise,Knee Dominant,,,Sagittal Plane,,,Lower Body,Push,Compound,Bilateral,Unsorted*
Double Dumbbell Front Rack Bulgarian Split Squat,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Dumbbell,2,Bench (Flat),1,Single Leg Supported,Double Arm,Continuous,Neutral,Front Rack,Foot Elevated (Rear),Single Exercise,Knee Dominant,,,Sagittal Plane,,,Lower Body,Push,Compound,Unilateral,Bodybuilding
Double Dumbbell Overhead Bulgarian Split Squat,Advanced,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Dumbbell,2,Bench (Flat),1,Single Leg Supported,Double Arm,Continuous,Neutral,Overhead,Foot Elevated (Rear),Single Exercise,Knee Dominant,,,Sagittal Plane,,,Lower Body,Push,Compound,Unilateral,Bodybuilding
Single Arm Dumbbell Overhead Ipsilateral Bulgarian Split Squat,Advanced,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Dumbbell,1,Bench (Flat),1,Single Leg Supported,Single Arm,Continuous,Neutral,Overhead,Foot Elevated (Rear),Single Exercise,Knee Dominant,,,Sagittal Plane,,,Lower Body,Push,Compound,Ipsilateral,Bodybuilding
Single Arm Dumbbell Suitcase Contralateral Bulgarian Split Squat,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Dumbbell,1,Bench (Flat),1,Single Leg Supported,Single Arm,Continuous,Neutral,Suitcase,Foot Elevated (Rear),Single Exercise,Knee Dominant,,,Sagittal Plane,,,Lower Body,Push,Compound,Contralateral,Bodybuilding
Single Arm Dumbbell Suitcase Ipsilateral Bulgarian Split Squat,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Dumbbell,1,Bench (Flat),1,Single Leg Supported,Single Arm,Continuous,Neutral,Suitcase,Foot Elevated (Rear),Single Exercise,Knee Dominant,,,Sagittal Plane,,,Lower Body,Push,Compound,Ipsilateral,Bodybuilding
Single Arm Dumbbell Front Rack Contralateral Bulgarian Split Squat,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Dumbbell,1,Bench (Flat),1,Single Leg Supported,Single Arm,Continuous,Neutral,Front Rack,Foot Elevated (Rear),Single Exercise,Knee Dominant,,,Sagittal Plane,,,Lower Body,Push,Compound,Contralateral,Bodybuilding
Single Arm Dumbbell Front Rack Ipsilateral Bulgarian Split Squat,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Dumbbell,1,Bench (Flat),1,Single Leg Supported,Single Arm,Continuous,Neutral,Front Rack,Foot Elevated (Rear),Single Exercise,Knee Dominant,,,Sagittal Plane,,,Lower Body,Push,Compound,Ipsilateral,Bodybuilding
Clubbell Order March,Novice,Abdominals,Rectus Abdominis,,,Clubbell,1,None,0,March,Double Arm,Continuous,Neutral,Order,No Elevation,Single Exercise,,,,Sagittal Plane,,,Midsection,Other,Compound,Unilateral,Balance
Macebell Order Walking Lunge,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Macebell,1,None,0,Walking,Double Arm,Continuous,Neutral,Order,No Elevation,Single Exercise,Knee Dominant,,,Sagittal Plane,,,Lower Body,Push,Compound,Unilateral,Bodybuilding
Suspension Alternating Lateral Lunge,Beginner,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Suspension Trainer,1,None,0,Standing,Double Arm,Continuous,Neutral,Other,No Elevation,Single Exercise,Knee Dominant,,,Frontal Plane,,,Lower Body,Push,Compound,Unilateral,Bodybuilding
Bulgarian Bag Back Rack Alternating Lateral Lunge,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Bulgarian Bag,1,None,0,Standing,Double Arm,Continuous,Neutral,Back Rack,No Elevation,Single Exercise,Knee Dominant,,,Frontal Plane,,,Lower Body,Push,Compound,Unilateral,Bodybuilding
Bulgarian Bag Back Rack Walking Lunge,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Bulgarian Bag,1,None,0,Walking,Double Arm,Continuous,Neutral,Back Rack,No Elevation,Single Exercise,Knee Dominant,,,Sagittal Plane,,,Lower Body,Push,Compound,Unilateral,Bodybuilding
Bulgarian Bag Back Rack Alternating Forward Lunge,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Bulgarian Bag,1,None,0,Standing,Double Arm,Continuous,Neutral,Back Rack,No Elevation,Single Exercise,Knee Dominant,,,Sagittal Plane,,,Lower Body,Push,Compound,Unilateral,Bodybuilding
Heavy Sandbag Bear Hug Alternating Lateral Lunge,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Heavy Sandbag,1,None,0,Standing,Double Arm,Continuous,Neutral,Bear Hug,No Elevation,Single Exercise,Knee Dominant,,,Frontal Plane,,,Lower Body,Push,Compound,Unilateral,Unsorted*
Heavy Sandbag Shoulder Alternating Lateral Lunge,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Heavy Sandbag,1,None,0,Standing,Double Arm,Continuous,Neutral,Shoulder,No Elevation,Single Exercise,Knee Dominant,,,Frontal Plane,,,Lower Body,Push,Compound,Unilateral,Unsorted*
Sandbag Front Rack Alternating Lateral Lunge,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Sandbag,1,None,0,Standing,Double Arm,Continuous,Neutral,Front Rack,No Elevation,Single Exercise,Knee Dominant,,,Frontal Plane,,,Lower Body,Push,Compound,Unilateral,Bodybuilding
Sandbag Front Rack Walking Lunge,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Sandbag,1,None,0,Walking,Double Arm,Continuous,Neutral,Front Rack,No Elevation,Single Exercise,Knee Dominant,,,Sagittal Plane,,,Lower Body,Push,Compound,Unilateral,Bodybuilding
Sandbag Front Rack Alternating Forward Lunge,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Sandbag,1,None,0,Standing,Double Arm,Continuous,Neutral,Front Rack,No Elevation,Single Exercise,Knee Dominant,,,Sagittal Plane,,,Lower Body,Push,Compound,Unilateral,Bodybuilding
Sandbag Front Rack Alternating Reverse Lunge,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Biceps Femoris,Sandbag,1,None,0,Standing,Double Arm,Continuous,Neutral,Front Rack,No Elevation,Single Exercise,Knee Dominant,,,Sagittal Plane,,,Lower Body,Push,Compound,Unilateral,Bodybuilding
Plate Overhead Walking Lunge,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Weight Plate,1,None,0,Walking,Double Arm,Continuous,Neutral,Overhead,No Elevation,Single Exercise,Knee Dominant,,,Sagittal Plane,,,Lower Body,Push,Compound,Unilateral,Bodybuilding
Plate Overhead Alternating Lateral Lunge,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Weight Plate,1,None,0,Standing,Double Arm,Continuous,Neutral,Overhead,No Elevation,Single Exercise,Knee Dominant,,,Frontal Plane,,,Lower Body,Push,Compound,Unilateral,Bodybuilding
Plate Overhead Alternating Forward Lunge,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Weight Plate,1,None,0,Standing,Double Arm,Continuous,Neutral,Overhead,No Elevation,Single Exercise,Knee Dominant,,,Sagittal Plane,,,Lower Body,Push,Compound,Unilateral,Bodybuilding
Plate Overhead Alternating Reverse Lunge,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Biceps Femoris,Weight Plate,1,None,0,Standing,Double Arm,Continuous,Neutral,Overhead,No Elevation,Single Exercise,Knee Dominant,,,Sagittal Plane,,,Lower Body,Push,Compound,Unilateral,Bodybuilding
Bodyweight Full Planche Push Up,Master,Chest,Pectoralis Major,Triceps Brachii,Rectus Abdominis,Bodyweight,1,None,0,Prone,Double Arm,Continuous,Flat Palm,No Load,No Elevation,Single Exercise,Horizontal Push,Isometric Hold,,Sagittal Plane,,,Upper Body,Push,Compound,Bilateral,Calisthenics
Bodyweight Straddle Planche Push Up,Master,Chest,Pectoralis Major,Triceps Brachii,Rectus Abdominis,Bodyweight,1,None,0,Prone,Double Arm,Continuous,Flat Palm,No Load,No Elevation,Single Exercise,Horizontal Push,Isometric Hold,,Sagittal Plane,,,Upper Body,Push,Compound,Bilateral,Calisthenics
Bodyweight Tuck Planche,Advanced,Abdominals,Rectus Abdominis,Biceps Brachii,,Bodyweight,1,None,0,Other,Double Arm,Continuous,Flat Palm,No Load,No Elevation,Single Exercise,Isometric Hold,,,Sagittal Plane,,,Midsection,Other,Compound,Bilateral,Calisthenics
Bodyweight Tuck Planche Push Up,Expert,Chest,Pectoralis Major,Triceps Brachii,Rectus Abdominis,Bodyweight,1,None,0,Other,Double Arm,Continuous,Flat Palm,No Load,No Elevation,Single Exercise,Horizontal Push,Isometric Hold,,Sagittal Plane,,,Upper Body,Push,Compound,Bilateral,Calisthenics
Bodyweight Pseudo Planche Lean,Intermediate,Abdominals,Rectus Abdominis,Anterior Deltoids,Pectoralis Major,Bodyweight,1,None,0,Prone,Double Arm,Continuous,Flat Palm,No Load,No Elevation,Single Exercise,Isometric Hold,,,Sagittal Plane,,,Upper Body,Other,Compound,Bilateral,Calisthenics
Bar L Sit Hang,Intermediate,Abdominals,Rectus Abdominis,,,Pull Up Bar,1,None,0,Hanging,Double Arm,Continuous,Pronated,No Load,No Elevation,Single Exercise,Isometric Hold,,,Sagittal Plane,,,Midsection,Other,Compound,Bilateral,Calisthenics
Ring L Sit Hang,Intermediate,Abdominals,Rectus Abdominis,,,Gymnastic Rings,2,None,0,Hanging,Double Arm,Continuous,Pronated,No Load,No Elevation,Single Exercise,Isometric Hold,,,Sagittal Plane,,,Midsection,Other,Compound,Bilateral,Calisthenics
Single Arm Bar L Sit Hang,Advanced,Abdominals,Rectus Abdominis,,,Pull Up Bar,1,None,0,Hanging,Single Arm,Continuous,Pronated,No Load,No Elevation,Single Exercise,Isometric Hold,,,Sagittal Plane,,,Midsection,Other,Compound,Unilateral,Calisthenics
Single Arm Ring L Sit Hang,Advanced,Abdominals,Rectus Abdominis,,,Gymnastic Rings,1,None,0,Hanging,Single Arm,Continuous,Pronated,No Load,No Elevation,Single Exercise,Isometric Hold,,,Sagittal Plane,,,Midsection,Other,Compound,Unilateral,Calisthenics
Single Arm Kettlebell Suitcase Alternating Reverse Lunge,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Biceps Femoris,Kettlebell,1,None,0,Standing,Single Arm,Continuous,Neutral,Suitcase,No Elevation,Single Exercise,Knee Dominant,,,Sagittal Plane,,,Lower Body,Push,Compound,Unilateral,Bodybuilding
Parallette L Sit Flutter Kicks,Advanced,Abdominals,Rectus Abdominis,,,Parallette Bars,2,None,0,L Sit,Double Arm,Continuous,Neutral,No Load,No Elevation,Single Exercise,Isometric Hold,,,Sagittal Plane,,,Midsection,Other,Compound,Unilateral,Calisthenics
Resistance Band Chest Fly,Beginner,Chest,Pectoralis Major,,,Resistance Band,1,None,0,Standing,Double Arm,Continuous,Neutral,No Load,No Elevation,Single Exercise,Horizontal Push,,,Sagittal Plane,,,Upper Body,Push,Isolation,Bilateral,Bodybuilding
Resistance Band Low Row,Beginner,Back,Latissimus Dorsi,,,Resistance Band,1,None,0,Standing,Double Arm,Continuous,Neutral,No Load,No Elevation,Single Exercise,Horizontal Pull,,,Sagittal Plane,,,Upper Body,Pull,Compound,Bilateral,Bodybuilding
Resistance Band Mid Row,Beginner,Back,Latissimus Dorsi,,,Resistance Band,1,None,0,Standing,Double Arm,Continuous,Pronated,No Load,No Elevation,Single Exercise,Horizontal Pull,,,Sagittal Plane,,,Upper Body,Pull,Compound,Bilateral,Bodybuilding
Resistance Band Face Pull,Beginner,Shoulders,Posterior Deltoids,Infraspinatus,Teres Minor,Resistance Band,1,None,0,Standing,Double Arm,Continuous,Pronated,No Load,No Elevation,Single Exercise,Shoulder External Rotation,,,Transverse Plane,,,Upper Body,Pull,Compound,Bilateral,Bodybuilding
Resistance Band Face Pull to Overhead Press,Beginner,Shoulders,Posterior Deltoids,Infraspinatus,Teres Minor,Resistance Band,1,None,0,Standing,Double Arm,Continuous,Pronated,Overhead,No Elevation,Combo Exercise,Shoulder External Rotation,Vertical Push,,Transverse Plane,,,Upper Body,Push & Pull,Compound,Bilateral,Bodybuilding
Single Arm Resistance Band Low Row,Beginner,Back,Latissimus Dorsi,,,Resistance Band,1,None,0,Standing,Single Arm,Continuous,Neutral,No Load,No Elevation,Single Exercise,Horizontal Pull,,,Sagittal Plane,,,Upper Body,Pull,Compound,Unilateral,Bodybuilding
Single Arm Resistance Band Mid Row,Beginner,Back,Latissimus Dorsi,,,Resistance Band,1,None,0,Standing,Single Arm,Continuous,Pronated,No Load,No Elevation,Single Exercise,Horizontal Pull,,,Sagittal Plane,,,Upper Body,Pull,Compound,Unilateral,Bodybuilding
Single Arm Suspension Mid Row,Novice,Back,Latissimus Dorsi,,,Suspension Trainer,1,None,0,Standing,Single Arm,Continuous,Pronated,No Load,No Elevation,Single Exercise,Horizontal Pull,,,Sagittal Plane,,,Upper Body,Pull,Compound,Unilateral,Bodybuilding
Single Arm Resistance Band Chest Press,Beginner,Chest,Pectoralis Major,Triceps Brachii,Anterior Deltoids,Resistance Band,1,None,0,Standing,Single Arm,Continuous,Pronated,No Load,No Elevation,Single Exercise,Horizontal Push,,,Sagittal Plane,,,Upper Body,Push,Compound,Unilateral,Bodybuilding
Resistance Band Reverse Grip Bicep Curl,Beginner,Forearms,Brachioradialis,Biceps Brachii,Brachialis,Resistance Band,1,None,0,Standing,Double Arm,Continuous,Pronated,No Load,No Elevation,Single Exercise,Elbow Flexion,,,Sagittal Plane,,,Upper Body,Pull,Isolation,Bilateral,Bodybuilding
Resistance Band Alternating Reverse Grip Bicep Curl,Beginner,Forearms,Brachioradialis,Biceps Brachii,Brachialis,Resistance Band,1,None,0,Standing,Double Arm,Alternating,Pronated,No Load,No Elevation,Single Exercise,Elbow Flexion,,,Sagittal Plane,,,Upper Body,Pull,Isolation,Unilateral,Bodybuilding
Resistance Band Hammer Curl,Beginner,Biceps,Biceps Brachii,Brachialis,Brachioradialis,Resistance Band,1,None,0,Standing,Double Arm,Continuous,Neutral,Other,No Elevation,Single Exercise,Elbow Flexion,,,Sagittal Plane,,,Upper Body,Pull,Isolation,Bilateral,Bodybuilding
Resistance Band Alternating Hammer Curl,Beginner,Biceps,Biceps Brachii,Brachialis,Brachioradialis,Resistance Band,1,None,0,Standing,Double Arm,Alternating,Neutral,Other,No Elevation,Single Exercise,Elbow Flexion,,,Sagittal Plane,,,Upper Body,Pull,Isolation,Unilateral,Bodybuilding
Resistance Band Y Raise,Beginner,Shoulders,Posterior Deltoids,,,Resistance Band,1,None,0,Standing,Double Arm,Continuous,Pronated,No Load,No Elevation,Single Exercise,,,,Sagittal Plane,,,Upper Body,Pull,Compound,Bilateral,Unsorted*
Clubbell Order Box Step Up,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Clubbell,1,Plyo Box,1,Standing,Double Arm,Continuous,Neutral,Order,Foot Elevated (Front),Single Exercise,Knee Dominant,,,Sagittal Plane,,,Lower Body,Push,Compound,Unilateral,Bodybuilding
Clubbell Order Alternating Box Step Up,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Clubbell,1,Plyo Box,1,Standing,Double Arm,Continuous,Neutral,Order,Foot Elevated (Front),Single Exercise,Knee Dominant,,,Sagittal Plane,,,Lower Body,Push,Compound,Unilateral,Bodybuilding
Bodyweight L Sit,Expert,Abdominals,Rectus Abdominis,,,Bodyweight,1,None,0,L Sit,Double Arm,Continuous,Flat Palm,No Load,No Elevation,Single Exercise,Isometric Hold,,,Sagittal Plane,,,Midsection,Other,Compound,Bilateral,Calisthenics
Bodyweight Single Arm L Sit,Master,Abdominals,Rectus Abdominis,,,Bodyweight,1,None,0,L Sit,Single Arm,Continuous,Flat Palm,No Load,No Elevation,Single Exercise,Isometric Hold,,,Sagittal Plane,,,Midsection,Other,Compound,Unilateral,Calisthenics
Alternating Single Arm Kettlebell Low Hold Alternating Lateral Lunge,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Kettlebell,1,None,0,Standing,Single Arm,Continuous,Neutral,Low Hold,No Elevation,Single Exercise,Knee Dominant,,,Frontal Plane,,,Lower Body,Push,Compound,Unilateral,Bodybuilding
Single Arm Kettlebell Front Rack Alternating Lateral Lunge,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Kettlebell,1,None,0,Standing,Single Arm,Continuous,Neutral,Front Rack,No Elevation,Single Exercise,Knee Dominant,,,Frontal Plane,,,Lower Body,Push,Compound,Unilateral,Bodybuilding
Single Arm Kettlebell Front Rack Alternating Forward Lunge,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Kettlebell,1,None,0,Standing,Single Arm,Continuous,Neutral,Front Rack,No Elevation,Single Exercise,Knee Dominant,,,Sagittal Plane,,,Lower Body,Push,Compound,Unilateral,Bodybuilding
Single Arm Kettlebell Front Rack Alternating Reverse Lunge,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Biceps Femoris,Kettlebell,1,None,0,Standing,Single Arm,Continuous,Neutral,Front Rack,No Elevation,Single Exercise,Knee Dominant,,,Sagittal Plane,,,Lower Body,Push,Compound,Unilateral,Bodybuilding
Single Arm Kettlebell Bottoms Up Front Rack Alternating Lateral Lunge,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Kettlebell,1,None,0,Standing,Single Arm,Continuous,Bottoms Up,Front Rack,No Elevation,Single Exercise,Knee Dominant,,,Frontal Plane,,,Lower Body,Push,Compound,Unilateral,Bodybuilding
Single Arm Kettlebell Bottoms Up Front Rack Alternating Forward Lunge,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Kettlebell,1,None,0,Standing,Single Arm,Continuous,Bottoms Up,Front Rack,No Elevation,Single Exercise,Knee Dominant,,,Sagittal Plane,,,Lower Body,Push,Compound,Unilateral,Bodybuilding
Resistance Band Cuban Press,Beginner,Shoulders,Posterior Deltoids,Triceps Brachii,,Resistance Band,1,None,0,Standing,Double Arm,Continuous,Pronated,No Load,No Elevation,Single Exercise,Shoulder External Rotation,Vertical Push,Horizontal Pull,Transverse Plane,,,Upper Body,Push & Pull,Compound,Bilateral,Unsorted*
Resistance Band Tall Kneeling Cuban Press,Beginner,Shoulders,Posterior Deltoids,Triceps Brachii,,Resistance Band,1,None,0,Tall Kneeling,Double Arm,Continuous,Pronated,No Load,No Elevation,Single Exercise,Shoulder External Rotation,Vertical Push,Horizontal Pull,Transverse Plane,,,Upper Body,Push & Pull,Compound,Bilateral,Unsorted*
Single Arm Macebell Order Contralateral Cossack Squat,Novice,Quadriceps,Quadriceps Femoris,Adductor Magnus,Gluteus Maximus,Macebell,1,None,0,Standing,Single Arm,Continuous,Neutral,Order,No Elevation,Single Exercise,Knee Dominant,,,Frontal Plane,,,Lower Body,Push,Compound,Contralateral,Bodybuilding
Single Arm Macebell Order Low Switch Cossack Squat,Intermediate,Quadriceps,Quadriceps Femoris,Adductor Magnus,Gluteus Maximus,Macebell,1,None,0,Standing,Single Arm,Continuous,Neutral,Order,No Elevation,Single Exercise,Knee Dominant,,,Frontal Plane,,,Lower Body,Push,Compound,Unilateral,Bodybuilding
Single Arm Macebell Order Alternating Cossack Squat,Novice,Quadriceps,Quadriceps Femoris,Adductor Magnus,Gluteus Maximus,Macebell,1,None,0,Standing,Single Arm,Continuous,Neutral,Order,No Elevation,Single Exercise,Knee Dominant,,,Frontal Plane,,,Lower Body,Push,Compound,Unilateral,Bodybuilding
Single Arm Macebell Order Foot Elevated Contralateral Cossack Squat,Intermediate,Quadriceps,Quadriceps Femoris,Adductor Magnus,Gluteus Maximus,Macebell,1,None,0,Standing,Single Arm,Continuous,Neutral,Order,Foot Elevated (Lateral),Single Exercise,Knee Dominant,,,Frontal Plane,,,Lower Body,Push,Compound,Contralateral,Bodybuilding
Stability Ball Feet Elevated Glute Bridge,Novice,Glutes,Gluteus Maximus,,,Stability Ball,1,None,0,Bridge,No Arms,Continuous,No Grip,No Load,Feet Elevated,Single Exercise,Hip Extension,,,Sagittal Plane,,,Lower Body,Unsorted*,Compound,Bilateral,Bodybuilding
Bodyweight Mountain Climber,Novice,Abdominals,Rectus Abdominis,,,Bodyweight,1,None,0,Prone,Double Arm,Continuous,Flat Palm,No Load,No Elevation,Single Exercise,Anti-Extension,Spinal Flexion,,Sagittal Plane,,,Midsection,Other,Compound,Unilateral,Calisthenics
Suspension Mountain Climber,Intermediate,Abdominals,Rectus Abdominis,,,Suspension Trainer,1,None,0,Prone,Double Arm,Continuous,Flat Palm,No Load,Feet Elevated,Single Exercise,Anti-Extension,Spinal Flexion,,Sagittal Plane,,,Midsection,Other,Compound,Unilateral,Unsorted*
Bodyweight Straddle L Sit,Expert,Abdominals,Rectus Abdominis,,,Bodyweight,1,None,0,L Sit,Double Arm,Continuous,Flat Palm,No Load,No Elevation,Single Exercise,Isometric Hold,,,Sagittal Plane,,,Midsection,Other,Compound,Bilateral,Calisthenics
Single Arm Kettlebell Bottoms Up Front Rack Alternating Reverse Lunge,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Biceps Femoris,Kettlebell,1,None,0,Standing,Single Arm,Continuous,Bottoms Up,Front Rack,No Elevation,Single Exercise,Knee Dominant,,,Sagittal Plane,,,Lower Body,Push,Compound,Unilateral,Bodybuilding
Bodyweight Cossack Squat,Beginner,Quadriceps,Quadriceps Femoris,Adductor Magnus,Gluteus Maximus,Bodyweight,1,None,0,Standing,No Arms,Continuous,No Grip,No Load,No Elevation,Single Exercise,Knee Dominant,,,Frontal Plane,,,Lower Body,Push,Compound,Unilateral,Bodybuilding
Single Arm Macebell Order Walking Lunge,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Macebell,1,None,0,Walking,Single Arm,Continuous,Neutral,Order,No Elevation,Single Exercise,Knee Dominant,,,Sagittal Plane,,,Lower Body,Push,Compound,Unilateral,Bodybuilding
Superband Pull Apart,Beginner,Shoulders,Posterior Deltoids,,,Superband,1,None,0,Standing,Double Arm,Continuous,Supinated,Lateral,No Elevation,Single Exercise,Shoulder Abduction,,,Frontal Plane,,,Upper Body,Pull,Isolation,Bilateral,Mobility
Resistance Band Tall Kneeling Face Pull,Beginner,Shoulders,Posterior Deltoids,Infraspinatus,Teres Minor,Resistance Band,1,None,0,Standing,Double Arm,Continuous,Pronated,No Load,No Elevation,Single Exercise,Shoulder External Rotation,,,Transverse Plane,,,Upper Body,Pull,Compound,Bilateral,Bodybuilding
Barbell Back Rack Alternating Box Step Up,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Barbell,1,Plyo Box,1,Standing,Double Arm,Continuous,Pronated,Back Rack,Foot Elevated (Front),Single Exercise,Knee Dominant,,,Sagittal Plane,,,Lower Body,Push,Compound,Unilateral,Bodybuilding
Barbell Front Rack Alternating Box Step Up,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Barbell,1,Plyo Box,1,Standing,Double Arm,Continuous,Pronated,Front Rack,Foot Elevated (Front),Single Exercise,Knee Dominant,,,Sagittal Plane,,,Lower Body,Push,Compound,Unilateral,Bodybuilding
Resistance Band Overhead Press,Beginner,Shoulders,Anterior Deltoids,Triceps Brachii,,Resistance Band,1,None,0,Standing,Double Arm,Continuous,Pronated,Overhead,No Elevation,Single Exercise,Vertical Push,,,Sagittal Plane,,,Upper Body,Push,Compound,Bilateral,Bodybuilding
Resistance Band Alternating Overhead Press,Beginner,Shoulders,Anterior Deltoids,Triceps Brachii,,Resistance Band,1,None,0,Standing,Double Arm,Alternating,Pronated,Overhead,No Elevation,Single Exercise,Vertical Push,,,Sagittal Plane,,,Upper Body,Push,Compound,Bilateral,Bodybuilding
Ring Tuck L Sit,Intermediate,Abdominals,Rectus Abdominis,,,Gymnastic Rings,2,None,0,Tuck L Sit,Double Arm,Continuous,Neutral,No Load,No Elevation,Single Exercise,Isometric Hold,,,Sagittal Plane,,,Midsection,Other,Compound,Bilateral,Calisthenics
Ring Tuck L Sit Hang,Intermediate,Abdominals,Rectus Abdominis,,,Gymnastic Rings,2,None,0,Hanging,Double Arm,Continuous,Pronated,No Load,No Elevation,Single Exercise,Isometric Hold,,,Sagittal Plane,,,Midsection,Other,Compound,Bilateral,Calisthenics
Bar Tuck L Sit Hang,Intermediate,Abdominals,Rectus Abdominis,,,Pull Up Bar,1,None,0,Hanging,Double Arm,Continuous,Pronated,No Load,No Elevation,Single Exercise,Isometric Hold,,,Sagittal Plane,,,Midsection,Other,Compound,Bilateral,Calisthenics
Single Arm Kettlebell Overhead Alternating Lateral Lunge,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Kettlebell,1,None,0,Standing,Single Arm,Continuous,Pronated,Overhead,No Elevation,Single Exercise,Knee Dominant,,,Frontal Plane,,,Lower Body,Push,Compound,Unilateral,Bodybuilding
Single Arm Kettlebell Overhead Alternating Forward Lunge,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Kettlebell,1,None,0,Standing,Single Arm,Continuous,Pronated,Overhead,No Elevation,Single Exercise,Knee Dominant,,,Sagittal Plane,,,Lower Body,Push,Compound,Unilateral,Bodybuilding
